Model,Params,MSE,R2,RMSE,MAE,MAPE,CVRMSE,Training Time (s)
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",7701978.311519093,0.7975972141761197,2775.2438292011557,2290.2895353431204,8.976900360877494,9.795922031441117,291.14551615715027
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",1416667.1197669236,0.9627709453301013,1190.2382617639728,956.9810072625589,3.7265902991178055,4.173898611831066,403.98803329467773
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",1416216.2343273512,0.9627827942947914,1190.0488369505476,956.6893745539455,3.723982106638461,4.176025792500955,464.389662027359
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",1417310.3052136258,0.9627540428511604,1190.5084229914653,956.7317580615453,3.725605099479443,4.176998188112447,582.1017458438873
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.7}",18925846.897860747,0.5026415316602307,4350.384683894144,3663.6839069129887,14.29252858214529,14.966530090577018,159.70675373077393
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",18929914.813579153,0.5025346295838291,4350.852193947659,3664.232953587241,14.294632650300956,14.965425917570268,184.17389631271362
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",18931482.80807017,0.5024934237480941,4351.032384167023,3663.4540018650405,14.29189469191217,14.969244997938205,230.85451221466064
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",7104753.336688999,0.8132918829715926,2665.474317394373,2246.0348117725457,8.760787078658892,9.149840753540238,319.5250446796417
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",7098949.7977946615,0.8134443960523026,2664.385444674749,2244.7760189435357,8.75543385345556,9.146582835499672,365.9322578907013
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",7099684.347318532,0.8134250925871481,2664.523287066287,2245.523911645364,8.757206788472262,9.145090675869437,461.3872709274292
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.7}",1114340.8318759466,0.9707158758949418,1055.6234327997586,867.2123850366555,3.3881038683963416,3.567985083506315,638.9703776836395
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",1112872.1950328907,0.9707544706788239,1054.9275780985588,865.8515967975044,3.3836666249158256,3.561701724661561,734.3176808357239
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",1113626.2819810908,0.9707346537833594,1055.2849292873896,865.7184856724201,3.3843819738361125,3.5588869396128255,924.6355290412903
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.7}",18885657.327495273,0.5036976864134675,4345.763146732144,3655.392181557983,14.271703446822674,14.96122635066513,213.59046816825867
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",18884860.325026043,0.5037186310998267,4345.671446971807,3655.5472706630912,14.271836857701214,14.962132098418984,246.8608522415161
