Model,Params,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",35345235.84244167,0.30001652939251444,4929.939214570631,16.207177517982686,16.207177517982686,5945.185938424606,19.881234740085677,25.63616704940796
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.7}",45948330.90789975,0.09003090880745335,5637.325752883578,18.545808093446624,18.545808093446624,6778.5198168847855,22.693274594324897,6.105791807174683
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",45946122.85268042,0.09007463753408029,5637.338632634347,18.545943758746997,18.545943758746997,6778.356943439938,22.693266269542843,7.133017063140869
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 50, 'subsample': 1.0}",45962481.243938014,0.08975067298233452,5638.092434621297,18.548344827627993,18.548344827627993,6779.563499513668,22.696820346674436,5.949441194534302
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.7}",41818052.024156354,0.17182770203037268,5377.733864456175,17.690585074098227,17.690585074098227,6466.6878712488015,21.64989991215658,12.259002447128296
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",41823595.501199365,0.1717179180041153,5378.020995268291,17.691351022847783,17.691351022847783,6467.116474998681,21.651171491640767,14.061069250106812
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",41841778.6505031,0.17135781561258123,5379.2125607241405,17.69530093525951,17.69530093525951,6468.52213805465,21.656407933500002,15.607258558273315
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.7}",34693709.99304095,0.3129194656548998,4897.251552518558,16.107087592038994,16.107087592038994,5890.1366701495945,19.719398022788464,22.47565460205078
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",34693087.68256194,0.3129317900046603,4897.385504569029,16.107892454224114,16.107892454224114,5890.083843423788,19.721151991615663,26.03597354888916
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",34711249.12363354,0.3125721175268983,4899.175115673689,16.11321983807014,16.11321983807014,5891.625338022907,19.725060169464424,32.2909369468689
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.7}",23468325.759578213,0.535229013953531,3957.650056243006,12.973280292824619,12.973280292824619,4844.411807389852,16.096905702454368,2.8327956199645996
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",23478110.91771791,0.5350352269043908,3958.7342231312914,12.976999224987523,12.976999224987523,4845.421644987969,16.104650546526923,3.2078025341033936
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",23474648.15784703,0.5351038040298373,3959.5225886997655,12.9794413337034,12.9794413337034,4845.064308948544,16.100640636799945,3.912790536880493
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",12331461.412451591,0.7557854983447223,2818.082022219221,9.18731459164079,9.18731459164079,3511.618061869997,11.568524198519164,5.7444586753845215
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",12305274.197666371,0.756304114702882,2813.800725910099,9.176007148986207,9.176007148986207,3507.887426595439,11.565530958136359,6.406682252883911
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",12293517.69441045,0.756536942628772,2812.3034481524896,9.169597879939793,9.169597879939793,3506.2113020196675,11.553453805540915,5.9711408615112305
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",5173535.037761913,0.8975423724095359,1765.3371000882805,5.651074758618481,5.651074758618481,2274.5406212600187,7.3266608259210235,11.317538738250732
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",5185661.130552916,0.8973022250653622,1767.7979755981985,5.659353526464781,5.659353526464781,2277.2046747169907,7.335813943282561,12.85036587715149
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",5181106.858710552,0.8973924186921503,1766.270442439822,5.654018951050584,5.654018951050584,2276.204485258421,7.33237897366951,13.736857652664185
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.7}",21058319.500989567,0.5829572156436432,3784.927784624448,12.423578085964923,12.423578085964923,4588.93446248577,15.306199382099688,4.50616455078125
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",21056461.964914393,0.5829940026254723,3784.657796507026,12.423597719050369,12.423597719050369,4588.732065060499,15.308599304402682,5.122811555862427
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",21066318.574030884,0.5827988005482097,3784.898493449251,12.423290427125409,12.423290427125409,4589.805940781253,15.30880172205367,6.273052215576172
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",9697895.348018747,0.8079411190363864,2530.797421088481,8.27307019591001,8.27307019591001,3114.1444006369948,10.33048600432126,7.231662750244141
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",9687653.739939017,0.8081439457030469,2530.0969903643577,8.270905201081105,8.270905201081105,3112.499596777326,10.327321393948537,10.18495488166809
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",9701940.185966924,0.8078610143309707,2531.3251295456516,8.272391096328867,8.272391096328867,3114.793762990886,10.323279582608606,12.535359144210815
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.7}",3329418.027415804,0.9340636006413291,1406.638292999096,4.523431476896951,4.523431476896951,1824.6692926160083,5.970817771850958,16.22279930114746
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",3346274.4970299816,0.9337297720553404,1409.2769936498757,4.532370405888448,4.532370405888448,1829.2825088077516,5.986728498976728,20.415181159973145
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",3352265.8385842885,0.9336111184389527,1410.5428262971225,4.535596010145829,4.535596010145829,1830.9193970746742,5.993741084381719,23.394227743148804
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.7}",19966475.2829891,0.6045802968556511,3709.4443026048425,12.191221694957498,12.191221694957498,4468.386205666326,14.952822238736111,6.126638174057007
