Model,Params,MSE,RMSE,MAE,MAPE,R2,CVRMSE,Training Time (s),Train_Loss_Final,Val_Loss_Final,Overfit_Gap,Loss_Ratio
Random Forest,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",361047.25817603164,600.872081375089,432.5154886096852,1.4698334231197225,0.9905119220136457,1.9377668899764944,149.5275058746338,636.359032720085,600.872081375089,-35.48695134499599,0.9442343873185727
Random Forest,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",361284.01649353723,601.0690613345002,433.5052131846539,1.4709959898938778,0.9905057001650385,1.936678232258802,293.458758354187,637.4638498345529,601.0690613345002,-36.39478850005264,0.9429068981566585
Random Forest,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",356002.0994979508,596.659114987738,429.94498498109647,1.4605039260372283,0.9906445053747076,1.9260513111024526,598.0847039222717,636.8617110774555,596.659114987738,-40.20259608971753,0.9368738999527826
Random Forest,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",357328.7719291458,597.769831899491,428.26838302885903,1.4490631845548254,0.9906096413196442,1.912776428010714,147.1359348297119,634.6271597749815,597.769831899491,-36.857327875490455,0.9419228639874806
Random Forest,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",367999.60691876186,606.6297115364214,436.89788097660164,1.4791673099233251,0.9903292189863673,1.948004021652432,290.5946955680847,639.4901842131998,606.6297115364214,-32.860472676778386,0.9486145784751826
Random Forest,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",357672.3317935972,598.0571308776422,429.27533892568994,1.4548376867809498,0.9906006127985488,1.9206100260624612,627.3819754123688,635.4676037295284,598.0571308776422,-37.4104728518862,0.9411292210140596
Random Forest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",150481.85217799214,387.91990433334576,267.59400183687444,0.9285476529117027,0.9960454386048828,1.2945688293873898,269.57912254333496,288.4910028556949,387.91990433334576,99.42890147765087,1.3446516546215683
Random Forest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",150345.151617676,387.74366741144337,267.27972991676495,0.9256105477124363,0.9960490310032398,1.283994969591935,529.0195825099945,286.66087732321904,387.74366741144337,101.08279008822433,1.352621505355439
Random Forest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",148797.616054026,385.7429403813192,265.6621750405394,0.9209442616214296,0.9960896991921876,1.2881587245818036,1066.129822731018,286.0526047303886,385.7429403813192,99.69033565093059,1.3485035060068449
Random Forest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",151491.27055184287,389.2187952191452,267.6461108645287,0.9280832832929683,0.9960189117720789,1.2981256163893238,261.0806429386139,293.0284661833237,389.2187952191452,96.19032903582149,1.3282627462399614
Random Forest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",149222.52588510382,386.29331586904766,266.0979687333133,0.9225840308587453,0.9960785328489371,1.2877556596039077,527.6782963275909,292.06881928181565,386.29331586904766,94.22449658723201,1.3226105984847198
Random Forest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",149435.2821645708,386.56859955843646,266.9189077457112,0.9246177003995012,0.9960729417576715,1.28945940137404,1058.3092432022095,291.2961908573116,386.56859955843646,95.27240870112485,1.3270636956176094
Random Forest,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",150048.0511783987,387.3603634581095,266.8724593152308,0.9247821641933324,0.9960568386020342,1.2931958175969571,274.541912317276,295.4726244117903,387.3603634581095,91.88773904631915,1.3109856259247161
Random Forest,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",149296.05889002924,386.38848182888324,265.5708458060788,0.9190865933195064,0.9960766004512537,1.2867651275030971,548.8717892169952,293.50330088918787,386.38848182888324,92.88518093969537,1.3164706518062779
Random Forest,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",148903.81716882426,385.8805737126764,265.8129542617611,0.9210979064551393,0.9960869082986504,1.2868871744590784,1080.86412191391,294.2181275851234,385.8805737126764,91.66244612755298,1.3115458822333548
