time,weekday,uid,last
2022-03-02T14:15:00Z,Wednesday,MLU00390001,36.3
2022-03-02T14:30:00Z,Wednesday,MLU00390001,38.2
2022-03-02T14:45:00Z,Wednesday,MLU00390001,28.9
2022-03-02T15:00:00Z,Wednesday,MLU00390001,30.9
2022-03-02T15:15:00Z,Wednesday,MLU00390001,31.2
2022-03-02T15:30:00Z,Wednesday,MLU00390001,31.2
2022-03-02T15:45:00Z,Wednesday,MLU00390001,30.3
2022-03-02T16:00:00Z,Wednesday,MLU00390001,26.6
2022-03-02T16:15:00Z,Wednesday,MLU00390001,34.2
2022-03-02T16:30:00Z,Wednesday,MLU00390001,29.5
2022-03-02T16:45:00Z,Wednesday,MLU00390001,34.9
2022-03-02T17:00:00Z,Wednesday,MLU00390001,37.5
2022-03-02T17:15:00Z,Wednesday,MLU00390001,37.8
2022-03-02T17:30:00Z,Wednesday,MLU00390001,41.9
2022-03-02T17:45:00Z,Wednesday,MLU00390001,40.5
2022-03-02T18:00:00Z,Wednesday,MLU00390001,39.7
2022-03-02T18:15:00Z,Wednesday,MLU00390001,38.9
2022-03-02T18:30:00Z,Wednesday,MLU00390001,36.7
2022-03-02T18:45:00Z,Wednesday,MLU00390001,34.3
2022-03-02T19:00:00Z,Wednesday,MLU00390001,38.3
2022-03-02T19:15:00Z,Wednesday,MLU00390001,35.0
2022-03-02T19:30:00Z,Wednesday,MLU00390001,32.5
2022-03-02T19:45:00Z,Wednesday,MLU00390001,30.2
2022-03-02T20:00:00Z,Wednesday,MLU00390001,29.2
2022-03-02T20:15:00Z,Wednesday,MLU00390001,29.7
2022-03-02T20:30:00Z,Wednesday,MLU00390001,28.7
2022-03-02T20:45:00Z,Wednesday,MLU00390001,31.9
2022-03-02T21:00:00Z,Wednesday,MLU00390001,22.9
2022-03-02T21:15:00Z,Wednesday,MLU00390001,9.0
2022-03-02T21:30:00Z,Wednesday,MLU00390001,8.2
2022-03-02T21:45:00Z,Wednesday,MLU00390001,6.7
2022-03-02T22:00:00Z,Wednesday,MLU00390001,4.7
2022-03-02T22:15:00Z,Wednesday,MLU00390001,4.7
2022-03-02T22:30:00Z,Wednesday,MLU00390001,4.5
2022-03-02T22:45:00Z,Wednesday,MLU00390001,4.7
2022-03-02T23:00:00Z,Wednesday,MLU00390001,4.5
2022-03-02T23:15:00Z,Wednesday,MLU00390001,4.6
2022-03-02T23:30:00Z,Wednesday,MLU00390001,4.5
2022-03-02T23:45:00Z,Wednesday,MLU00390001,4.7
2022-03-03T00:00:00Z,Thursday,MLU00390001,4.6
2022-03-03T00:15:00Z,Thursday,MLU00390001,4.6
2022-03-03T00:30:00Z,Thursday,MLU00390001,4.5
2022-03-03T00:45:00Z,Thursday,MLU00390001,4.6
2022-03-03T01:00:00Z,Thursday,MLU00390001,4.5
2022-03-03T01:15:00Z,Thursday,MLU00390001,4.5
2022-03-03T01:30:00Z,Thursday,MLU00390001,4.5
2022-03-03T01:45:00Z,Thursday,MLU00390001,4.5
2022-03-03T02:00:00Z,Thursday,MLU00390001,4.5
2022-03-03T02:15:00Z,Thursday,MLU00390001,4.5
2022-03-03T02:30:00Z,Thursday,MLU00390001,4.6
2022-03-03T02:45:00Z,Thursday,MLU00390001,4.4
2022-03-03T03:00:00Z,Thursday,MLU00390001,4.5
2022-03-03T03:15:00Z,Thursday,MLU00390001,4.6
2022-03-03T03:30:00Z,Thursday,MLU00390001,4.4
2022-03-03T03:45:00Z,Thursday,MLU00390001,4.6
2022-03-03T04:00:00Z,Thursday,MLU00390001,4.4
2022-03-03T04:15:00Z,Thursday,MLU00390001,4.4
2022-03-03T04:30:00Z,Thursday,MLU00390001,4.5
2022-03-03T04:45:00Z,Thursday,MLU00390001,4.5
2022-03-03T05:00:00Z,Thursday,MLU00390001,4.5
2022-03-03T05:15:00Z,Thursday,MLU00390001,4.5
2022-03-03T05:30:00Z,Thursday,MLU00390001,4.5
2022-03-03T05:45:00Z,Thursday,MLU00390001,5.9
2022-03-03T06:00:00Z,Thursday,MLU00390001,7.5
2022-03-03T06:15:00Z,Thursday,MLU00390001,8.4
2022-03-03T06:30:00Z,Thursday,MLU00390001,8.5
2022-03-03T06:45:00Z,Thursday,MLU00390001,8.2
2022-03-03T07:00:00Z,Thursday,MLU00390001,8.0
2022-03-03T07:15:00Z,Thursday,MLU00390001,8.4
2022-03-03T07:30:00Z,Thursday,MLU00390001,8.4
2022-03-03T07:45:00Z,Thursday,MLU00390001,9.7
2022-03-03T08:00:00Z,Thursday,MLU00390001,11.8
2022-03-03T08:15:00Z,Thursday,MLU00390001,47.9
2022-03-03T08:30:00Z,Thursday,MLU00390001,52.8
2022-03-03T08:45:00Z,Thursday,MLU00390001,47.5
2022-03-03T09:00:00Z,Thursday,MLU00390001,43.7
2022-03-03T09:15:00Z,Thursday,MLU00390001,44.2
2022-03-03T09:30:00Z,Thursday,MLU00390001,43.5
2022-03-03T09:45:00Z,Thursday,MLU00390001,47.5
2022-03-03T10:00:00Z,Thursday,MLU00390001,43.0
2022-03-03T10:15:00Z,Thursday,MLU00390001,44.8
2022-03-03T10:30:00Z,Thursday,MLU00390001,45.6
2022-03-03T10:45:00Z,Thursday,MLU00390001,38.7
