architecture,d_model,num_heads,ff_dim,num_layers,dropout_rate,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s),Train Loss Final,Validation Loss Final,Overfit Gap,Loss Ratio
encoder,32,2,128,2,0.2,20,128,8854808.854652103,0.8265922167926615,2659.6306240802915,7.7957957597947685,7.7957957597947685,2975.703085768488,2.8379503772268797,43.818599700927734,0.0005703031783923507,0.006032847799360752,0.005462544620968401,10.578316986356233
encoder,32,2,128,2,0.2,50,64,5314382.601688379,0.8959260079803679,1871.679365264676,5.207691111755959,5.207691111755959,2305.294471794955,3.347374587407522,165.29366612434387,0.0002855166094377637,0.0036212457343935966,0.003335729124955833,12.683135112610492
encoder,32,2,128,2,0.2,50,128,3219818.5561154224,0.9369448163917745,1439.513041800824,4.019191459608025,4.019191459608025,1794.3852864185612,3.072024625982814,96.5627646446228,0.00028698425740003586,0.0021945813205093145,0.0019075970631092787,7.647044267833209
encoder,32,4,64,1,0.0,20,64,389512.46191363817,0.9923719988019176,437.52820872426275,1.400989093058361,1.400989093058361,624.1093349034592,1.9808994296492515,60.986788511276245,0.00032569310860708356,0.00026541572879068553,-6.0277379816398025e-05,0.8149258359374232
encoder,32,4,64,1,0.0,20,128,434194.55555772374,0.9914969688678934,467.7891620725199,1.4868625920863519,1.4868625920863519,658.9344091468618,2.113015869352607,35.51396155357361,0.0004131257883273065,0.00029586226446554065,-0.00011726352386176586,0.7161554006673104
encoder,32,4,64,1,0.0,50,64,393542.9041887135,0.9922930688022148,464.82659365270655,1.4688557291529736,1.4688557291529736,627.3299803043957,1.7232642514450045,131.2045819759369,0.00023014386533759534,0.0002681619953364134,3.801812999881804e-05,1.16519288899163
encoder,32,4,64,1,0.0,50,128,353643.2108327424,0.9930744427978687,407.95217597752514,1.3010564667013047,1.3010564667013047,594.6790822222877,1.8887799656461888,71.53516125679016,0.0002531367354094982,0.0002409741864539683,-1.2162548955529928e-05,0.9519526514559231
encoder,32,4,64,1,0.2,20,64,5399175.008414261,0.8942654793879947,1963.432802526272,5.579060823400589,5.579060823400589,2323.612491017868,3.168022962378339,62.55559778213501,0.000453649990959093,0.003679024986922741,0.003225374995963648,8.109831500590705
encoder,32,4,64,1,0.2,20,128,4529804.76601729,0.9112907555961064,1816.1209449764378,5.233083073122188,5.233083073122188,2128.333800421656,2.9146360307058488,36.529927253723145,0.0005495816585607827,0.003086630254983902,0.0025370485964231193,5.6163269041165185
encoder,32,4,64,1,0.2,50,64,2728943.084493904,0.9465578559008119,1349.961411607108,3.8252874050587518,3.8252874050587518,1651.9512960417155,2.6450192743124776,136.11736631393433,0.0003231483278796077,0.0018595150904729962,0.0015363667625933886,5.754370145358692
encoder,32,4,64,1,0.2,50,128,4642549.948964164,0.9090828149659874,1774.3135978960472,4.978791312509202,4.978791312509202,2154.657733600435,3.2863081126598437,76.17115378379822,0.00034816222614608705,0.0031634559854865074,0.0028152937593404204,9.086155096443857
encoder,32,4,64,2,0.0,20,64,420185.0088565475,0.9917713242466561,476.29721921200905,1.485075680712566,1.485075680712566,648.2167915570743,1.848567373552374,73.41271233558655,0.00031719382968731225,0.0002863161498680711,-3.0877679819241166e-05,0.9026535924432068
