architecture,d_model,num_heads,ff_dim,num_layers,dropout_rate,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
encoder,32,2,64,2,0.2,10,128,3289187.442875693,0.9355863336651441,1677.5290881269,5.0760722926088935,5.0760722926088935,1813.6117122680073,1.6901974965835682,28.75448727607727
encoder,32,2,64,2,0.2,20,32,3217101.515749391,0.9369980254394787,1387.3857021210144,3.83859233201532,3.83859233201532,1793.6280316022583,3.49739092852581,141.0226104259491
encoder,32,2,64,2,0.2,20,64,5754454.001732115,0.8873078879071784,2104.0549650376456,6.066381073552648,6.066381073552648,2398.8443054379572,2.3197887331244984,81.19722056388855
encoder,32,2,64,2,0.2,20,128,3968685.54667294,0.9222794106352736,1723.2773429554647,4.9302528916112145,4.9302528916112145,1992.156004602285,2.618010869825522,46.42420434951782
encoder,32,2,64,2,0.2,50,32,7311418.662246743,0.8568171348323492,2296.511298830941,6.458153624994178,6.458153624994178,2703.9635097846167,3.1755423731280574,336.62680745124817
encoder,32,2,64,2,0.2,50,64,6240679.006006214,0.8777859206332205,2141.1368021863746,6.050294421141704,6.050294421141704,2498.135105635044,2.9174396221788705,179.1572184562683
encoder,32,2,64,2,0.2,50,128,6326731.173096011,0.8761007215758304,2107.9629971905742,5.8947312867275565,5.8947312867275565,2515.299420167709,3.3005809628011558,97.99420356750488
encoder,32,2,128,1,0.0,10,32,379512.9317747049,0.9925678241870807,504.04837055102416,1.565300210967074,1.565300210967074,616.0462091229074,1.2857576757423006,60.00130534172058
encoder,32,2,128,1,0.0,10,64,194158.62821354388,0.9961977025295808,321.68357510104914,1.03376588056879,1.03376588056879,440.6343475190556,1.3399993265012105,37.908958196640015
encoder,32,2,128,1,0.0,10,128,225482.07103755954,0.9955842811817355,338.42973546000235,1.0738293868191777,1.0738293868191777,474.8495246260225,1.4954670243061514,21.885345697402954
encoder,32,2,128,1,0.0,20,32,1154765.5618356303,0.9773856963499682,987.7459833054714,3.0481692202647506,3.0481692202647506,1074.600186969847,1.259695556835322,106.07792282104492
encoder,32,2,128,1,0.0,20,64,182124.35007722958,0.996433375318048,317.2010463989494,0.9944275472266133,0.9944275472266133,426.76029580694313,1.2258376030535163,56.76247477531433
encoder,32,2,128,1,0.0,20,128,199075.22573328437,0.9961014185452719,321.3565619634192,1.0212710613729108,1.0212710613729108,446.17846847789997,1.3950275714683833,32.10598349571228
encoder,32,2,128,1,0.0,50,32,113401.37557183344,0.9977792088487327,234.7386280820116,0.7483796760236048,0.7483796760236048,336.75120723144175,1.0777858858666338,251.08851718902588
encoder,32,2,128,1,0.0,50,64,149249.99257305043,0.9970771689394281,288.85614750008125,0.906112437184063,0.906112437184063,386.32886582942575,1.0846615993876227,131.12708854675293
encoder,32,2,128,1,0.0,50,128,141360.3206754412,0.9972316760029294,270.8554633879453,0.8517516159457247,0.8517516159457247,375.97914925623365,1.1691481480008414,70.17954802513123
encoder,32,2,128,1,0.2,10,32,2393719.840046835,0.9531226864525858,1250.3316041115995,3.5106857059634984,3.5106857059634984,1547.1650978634552,2.852453071169921,59.951992988586426
encoder,32,2,128,1,0.2,10,64,3247679.9408855764,0.9363991941147289,1474.0466989308022,4.11217579193879,4.11217579193879,1802.1320542306482,2.557284903634285,35.49241614341736
encoder,32,2,128,1,0.2,10,128,3813647.4464701475,0.9253155928623715,1810.4759996419327,5.472846942195332,5.472846942195332,1952.8562278033035,1.7459999253150533,23.1367666721344
encoder,32,2,128,1,0.2,20,32,2857260.710963109,0.9440449529666326,1411.488655032113,3.9726077583791937,3.9726077583791937,1690.343370727708,2.242351075328194,115.82622003555298
encoder,32,2,128,1,0.2,20,64,4292046.815564163,0.9159468785915041,1759.364896027112,4.965709648252325,4.965709648252325,2071.7255647320094,2.5163110141150766,63.52493715286255
encoder,32,2,128,1,0.2,20,128,3190226.9817218576,0.9375243217657959,1485.0757525830927,4.190469507306359,4.190469507306359,1786.12065150198,2.371705883213198,36.69484829902649
encoder,32,2,128,1,0.2,50,32,4701897.321381085,0.9079205881512785,1793.478376114201,5.002654390388325,5.002654390388325,2168.385879261596,3.0604342443361605,264.03933787345886
encoder,32,2,128,1,0.2,50,64,4054518.9427542207,0.9205984958708864,1696.2128533520386,4.772441525544475,4.772441525544475,2013.58360709314,2.4529447692457924,141.49057722091675
encoder,32,2,128,1,0.2,50,128,4991116.205907522,0.9022566820805021,1914.4596324003116,5.419063233998962,5.419063233998962,2234.080617593627,2.6095218700153864,76.43101358413696
encoder,32,2,128,2,0.0,10,32,222035.20613344057,0.9956517827181153,369.6939511207998,1.199058521858613,1.199058521858613,471.2061185229247,1.2187882711034566,70.34499168395996
encoder,32,2,128,2,0.0,10,64,195127.72001618746,0.9961787243603195,327.07177704833447,1.0465065023112117,1.0465065023112117,441.7326340855829,1.3361718064688144,41.145893812179565
encoder,32,2,128,2,0.0,10,128,415107.93436976464,0.9918707509250163,511.8619925229044,1.6427468537402727,1.6427468537402727,644.2887042077989,1.5228562585004881,25.770330667495728
encoder,32,2,128,2,0.0,20,32,120662.16679473929,0.9976370174439309,246.92026293400855,0.7898284591810636,0.7898284591810636,347.3646021038115,1.132971347489498,130.31352710723877
encoder,32,2,128,2,0.0,20,64,717080.6347438591,0.9859570810287436,734.6530756640782,2.197905090923221,2.197905090923221,846.8061376394594,1.2685554790066609,71.16523170471191
encoder,32,2,128,2,0.0,20,128,311921.4148959174,0.9938914998641015,452.57538716230505,1.491571625329024,1.491571625329024,558.4992523682707,1.329760402081197,43.24485659599304
encoder,32,2,128,2,0.0,50,32,145293.1874888902,0.9971546568682462,283.3467963197499,0.9555376636206588,0.9555376636206588,381.17343492023446,1.1713217894919379,312.7007873058319
encoder,32,2,128,2,0.0,50,64,112970.48498221971,0.9977876471767844,236.63297335043023,0.7584668191374858,0.7584668191374858,336.11082247113035,1.071041191890888,160.7027542591095
encoder,32,2,128,2,0.0,50,128,157148.8529348451,0.9969224819340182,282.61422210214704,0.8824268161010759,0.8824268161010759,396.42004608097847,1.2328584045080708,88.8238456249237
encoder,32,2,128,2,0.2,10,32,4035665.296851202,0.9209677154661462,1658.0875875285603,4.63029766576384,4.63029766576384,2008.8965371196202,2.79794493759499,76.16749954223633
encoder,32,2,128,2,0.2,10,64,8962626.608019723,0.8244807722760414,2657.4492316672736,7.670429305092531,7.670429305092531,2993.7646213454595,2.8719030011843545,46.27593731880188
encoder,32,2,128,2,0.2,10,128,4642753.270319155,0.9090788332306359,1833.7262013063055,5.204321364772504,5.204321364772504,2154.704914905787,2.763265201317463,30.139090538024902
encoder,32,2,128,2,0.2,20,32,5675608.641867678,0.8888519527531512,1946.754379054113,5.408986036469572,5.408986036469572,2382.3535929554364,3.7179366304982775,141.51568984985352
encoder,32,2,128,2,0.2,20,64,6363627.124281514,0.8753781712408175,2124.8151873209504,5.967140841932437,5.967140841932437,2522.623064249099,3.1500672486987775,76.34811425209045
encoder,32,2,128,2,0.2,20,128,7622762.664983823,0.850719942423597,2454.3148178978277,7.096122880769889,7.096122880769889,2760.9351069852805,2.5374314042096953,51.67293047904968
encoder,32,2,128,2,0.2,50,32,7681468.645635582,0.8495702762780104,2298.4946078233397,6.408358049945812,6.408358049945812,2771.546255366412,3.9122459202691617,339.71836280822754
encoder,32,2,128,2,0.2,50,64,5966368.373513993,0.8831578715664908,2046.8649732802758,5.739070634954844,5.739070634954844,2442.6150686332044,3.0686703028718676,175.11211490631104
encoder,32,2,128,2,0.2,50,128,7299874.726605287,0.8570432050188357,2238.1678874941044,6.235540224642198,6.235540224642198,2701.8280342400194,3.4449033518978043,99.42821002006531
