num_layers,dropout,epochs,batch_size,MSE,RMSE,MAE,MAPE,R2,CVRMSE,Training Time (s),Train_Loss_Final,Val_Loss_Final,Overfit_Gap,Loss_Ratio
1,False,10,32,471071.6649849378,686.3466070324365,498.8448307036066,1.531738231494327,0.9906180401257095,1.878434124051492,139.1218180656433,0.0002906578592956066,0.00032099036616273224,3.033250686712563e-05,1.1043581169304515
1,False,10,64,360953.97696364386,600.794454837629,415.06361157638923,1.3261848876249387,0.9928111665802554,1.9193756016916026,72.76939010620117,0.0003444659523665905,0.00024595577269792557,-9.851017966866493e-05,0.7140205614172643
1,False,20,16,320375.3579055741,566.0171003649749,395.91710954733026,1.2630681838626832,0.9936193386781655,1.8421709400112836,575.2186944484711,0.00023563153808936477,0.0002186113561037928,-1.702018198557198e-05,0.9277678101854219
1,False,20,32,373224.6298142464,610.921132237416,452.4314127463685,1.449882041243171,0.992566781741954,1.6839813312783762,273.3798768520355,0.00023402681108564138,0.0002543170703575015,2.0290259271860123e-05,1.0867005757918693
1,False,20,64,388286.1848803233,623.1261388196801,463.42900147381425,1.459795441018771,0.9922668127228476,1.7760748438576859,136.294184923172,0.00024465276510454714,0.00026458012871444225,1.992736360989511e-05,1.081451618179666
1,False,50,16,245021.999272641,494.9969689529836,333.4927299449041,1.0695816713716169,0.9951200916200981,1.620421524941599,1409.6468513011932,0.00017816625768318772,0.00016703929577488452,-1.1126961908303201e-05,0.9375473108488983
1,False,50,32,295516.1676336131,543.6139877096736,381.7410028806606,1.2232258656548805,0.9941144394090625,1.6236292561735748,684.2950749397278,0.00018156899022869766,0.0002013662306126207,1.9797240383923054e-05,1.109034259423854
1,False,50,64,291143.76100587397,539.5773911181545,373.8281539299464,1.176321641368064,0.9942015211560338,1.600340576536266,341.12283277511597,0.00017761894559953362,0.00019821237947326154,2.0593433873727918e-05,1.1159416514055807
2,True,10,16,628984.9349177388,793.0857046484565,591.3335504450166,1.888512825349669,0.9874730070612078,2.581495241093729,303.3327672481537,0.0006275662453845143,0.00042860821122303605,-0.00019895803416147828,0.6829688728086781
2,True,10,32,774379.4126263981,879.9883025508908,646.667724188171,2.167256202119246,0.9845773008296523,3.006511187485421,151.41115522384644,0.0006856201216578484,0.0005276658339425921,-0.00015795428771525621,0.7696183604802637
2,True,10,64,845085.3220147185,919.2852234288978,670.3803455110161,2.0559116392461503,0.9831691074398469,2.7499576180050145,76.50109577178955,0.000744994729757309,0.0005762320943176746,-0.00016876263543963432,0.7734713700664556
2,True,20,16,720776.2662933754,848.9854334989354,644.9524742215348,1.9474696906264921,0.9856448720834832,2.477920776288106,609.5487380027771,0.0004512640880420804,0.0004910964053124189,3.9832317270338535e-05,1.0882683074630661
2,True,20,32,1512568.5538613857,1229.8652584171105,902.3488612786031,2.5404259404918488,0.9698753745252439,2.8229799612010393,310.6294963359833,0.0004536199558060616,0.0010306710610166192,0.0005770511052105576,2.272102555949428
2,True,20,64,1261253.0740084685,1123.0552408534802,871.8648517641824,2.54910622512808,0.9748806251548768,2.770163540743714,153.12781500816345,0.0005082259885966778,0.0008599928114563227,0.0003517668228596449,1.6921464678163143
2,True,50,16,1160881.1853480253,1077.4419637957421,828.9580393841237,2.459605293651802,0.9768796522709509,3.0628520685094167,1550.414237499237,0.0003138743049930781,0.0007914316956885159,0.0004775573906954378,2.5214924672026573
2,True,50,32,1181495.9263042444,1086.9663869247495,807.4227625045688,2.342741226476724,0.9764690848629614,2.889891271975368,771.1234445571899,0.00031972359283827245,0.0008050770265981555,0.00048535343375988305,2.518040722147746
2,True,50,64,2942853.241219088,1715.4746402145058,1254.9121465561066,3.4454183017598083,0.9413895314082924,3.528786523756485,384.9508819580078,0.00033493401133455336,0.002003009896725416,0.0016680758853908628,5.9803120284630715
2,False,10,16,318744.51718207006,564.5746338457566,388.8129250198507,1.2487667540746388,0.993651818836423,1.8573162602349271,276.75494384765625,0.0003017304989043623,0.00021708520944230258,-8.464528946205974e-05,0.719467240569243
2,False,10,32,386719.0153661828,621.8673615540397,436.9841542377033,1.3954072082827416,0.9922980247922434,2.005600798241295,137.35627579689026,0.00030962101300247014,0.00026351219275966287,-4.610882024280727e-05,0.851079809488126
