units_lstm1,units_lstm2,dropout_rate,feature_att,temporal_att,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
64,32,0,False,False,10,64,346346.8711538247,0.9932173303643896,436.08080891746187,1.373517059423239,1.373517059423239,588.5124222595686,1.8104791041408361,166.103031873703
64,32,0,True,True,20,16,251846.8255052685,0.9950679681023572,411.1504996751903,1.2828197557362908,1.2828197557362908,501.8434272811277,1.1008256978774995,1353.4776618480682
64,32,0,True,False,20,16,114004.24157488543,0.9977674026472804,230.42760731657967,0.7366372848715345,0.7366372848715345,337.6451414945659,1.0890401649908124,1335.7673468589783
64,32,0,False,True,20,16,106654.14727854733,0.9979113429151296,224.46729448728195,0.7204821917405609,0.7204821917405609,326.579465488183,1.069584936003036,1308.0573308467865
64,32,0,False,False,20,16,141757.64543991155,0.9972238950098271,275.8324366718861,0.8621268790120401,0.8621268790120401,376.5071651906661,1.1673527382435804,1261.7291033267975
64,32,0,True,True,20,32,155162.1250189587,0.9969613889380411,279.2174471266697,0.8984933036357622,0.8984933036357622,393.90623886777763,1.239943175546296,680.440625667572
64,32,0,True,False,20,32,139553.05941724914,0.9972670684290793,264.87039851493375,0.8550475159028768,0.8550475159028768,373.56801176927496,1.2020024393512228,667.5430860519409
64,32,0,False,True,20,32,280382.85540842835,0.9945091339402347,427.39210430067175,1.277023179502168,1.277023179502168,529.5119029903184,1.2131200165883247,651.0488510131836
64,32,0,False,False,20,32,165864.385694343,0.9967518016584636,293.0053497336682,0.9065750311029976,0.9065750311029976,407.2645156336886,1.1948958792422493,637.0893983840942
64,32,0,True,True,20,64,288601.5972564031,0.9943481825489618,423.0178110893004,1.3559185505192302,1.3559185505192302,537.21652734852,1.3377115331559393,345.8777287006378
64,32,0,True,False,20,64,249061.34928508603,0.9951225173607825,382.7598488502086,1.1742539013562352,1.1742539013562352,499.06046656200493,1.2059614780722177,337.95867466926575
64,32,0,False,True,20,64,125574.47484189754,0.9975408174623308,253.29591396256004,0.8100605238676869,0.8100605238676869,354.3648894034192,1.1170607184136532,331.9265921115875
64,32,0,False,False,20,64,164038.67976444485,0.9967875552950795,292.6275482976827,0.928554216202212,0.928554216202212,405.01688824596545,1.263658541821821,325.09335923194885
64,32,0,True,True,50,16,118643.7150938001,0.997676545709387,245.48699317295703,0.7927866838522997,0.7927866838522997,344.4469699297703,1.046348736038113,3448.68709897995
64,32,0,True,False,50,16,143870.7563175893,0.9971825129902958,271.6188892471203,0.8409952237772007,0.8409952237772007,379.30298748835247,1.0531860040835976,3381.1561093330383
64,32,0,False,True,50,16,125400.28701743532,0.9975442286623915,252.20131303727933,0.7848262508777457,0.7848262508777457,354.11902944834145,1.0930463734680034,3333.2825944423676
64,32,0,False,False,50,16,109186.33958890845,0.9978617538316833,225.33314799010344,0.7257511660814974,0.7257511660814974,330.4335630484719,1.0946724327607735,3224.3305101394653
64,32,0,True,True,50,32,104729.28512405416,0.9979490383735714,221.4818002661959,0.7105430924892483,0.7105430924892483,323.6190432036628,1.066084727677747,1692.3063416481018
64,32,0,True,False,50,32,106412.66329333141,0.9979160720067728,225.78027431221147,0.7219636053815113,0.7219636053815113,326.20953893675676,1.0591926221272083,1629.2403717041016
64,32,0,False,True,50,32,124095.20701275098,0.99756978664272,256.2882794409221,0.7973532880997872,0.7973532880997872,352.2714961684396,1.0152306329461174,1565.1019730567932
64,32,0,False,False,50,32,160369.75369386567,0.9968594055571341,304.1703842819753,0.9364160839968876,0.9364160839968876,400.4619253984899,1.1192049288842156,1529.5407481193542
64,32,0,True,True,50,64,129316.33844381192,0.9974675388311459,262.923002007772,0.8370520313578758,0.8370520313578758,359.6058098026392,1.0320335435145058,824.736496925354
64,32,0,True,False,50,64,209744.233027627,0.9958924824819075,351.47843987224934,1.0812080545151566,1.0812080545151566,457.978419827427,1.096016988188928,807.1045305728912
64,32,0,False,True,50,64,102337.69032571175,0.9979958740714524,222.41314079158832,0.713605057734604,0.713605057734604,319.90262631887185,1.0389042882908976,795.9978582859039
64,32,0,False,False,50,64,126206.82636276164,0.997528433832459,256.7469526370184,0.831999682436272,0.831999682436272,355.2560011636139,1.0588695710824965,776.0450291633606
64,32,0.2,True,True,10,16,1437438.8660561945,0.971849975380562,867.9154348360927,2.37467517275366,2.37467517275366,1198.9323859401725,2.085348518783521,673.6002848148346
64,32,0.2,True,False,10,16,197992.20373928736,0.9961226278617265,326.30659128721373,1.0683211490763265,1.0683211490763265,444.9631487430025,1.4781105100091336,649.0565752983093
64,32,0.2,False,True,10,16,426338.77088468114,0.991650812302333,563.0330049294445,1.82968622807623,1.82968622807623,652.9462235779307,1.2420171032535634,639.8839509487152
64,32,0.2,False,False,10,16,156950.38476951246,0.9969263686271307,289.67125081289646,0.921805993361125,0.921805993361125,396.16964140316514,1.2362642830698232,626.8258566856384
64,32,0.2,True,True,10,32,360179.88699406525,0.9929464320704453,487.45676849382033,1.5225536567784803,1.5225536567784803,600.1498871066004,1.323737205415427,341.21641397476196
64,32,0.2,True,False,10,32,191588.24023354697,0.9962480396163448,311.2024920758382,0.9785854479617188,0.9785854479617188,437.70793942256404,1.3747413248428744,329.83923745155334
64,32,0.2,False,True,10,32,147001.41557868756,0.9971212038540562,279.9511183467451,0.9214861546576729,0.9214861546576729,383.4076363072175,1.238249773243925,323.1959009170532
64,32,0.2,False,False,10,32,271188.8806245119,0.9946891837653988,367.7631041878875,1.1792499464189967,1.1792499464189967,520.7579866161554,1.6882108911084555,315.3270273208618
64,32,0.2,True,True,10,64,228544.50358416504,0.9955243081605392,340.42793518456216,1.0898171522623397,1.0898171522623397,478.06328407875566,1.5350350789948009,173.57973337173462
64,32,0.2,True,False,10,64,455824.9907703427,0.9910733701339625,494.3761390355843,1.4766074973882979,1.4766074973882979,675.148125058748,1.807233355374221,167.34651851654053
64,32,0.2,False,True,10,64,204249.291622826,0.9960000924397848,327.2944976000891,1.0490932327773848,1.0490932327773848,451.9394778317402,1.4421302742594297,163.47314524650574
64,32,0.2,False,False,10,64,681284.6303500857,0.986658090601225,654.6648591472888,2.054750780413764,2.054750780413764,825.3996791555505,2.258162027416207,162.42394614219666
64,32,0.2,True,True,20,16,256723.3057062713,0.9949724697539015,372.7431881632573,1.131621153561142,1.131621153561142,506.67870066371574,1.409426961244547,1346.3040702342987
64,32,0.2,True,False,20,16,160330.9582509244,0.9968601653060875,299.02913991546984,0.9711060324098776,0.9711060324098776,400.4134841022769,1.2545550250627917,1307.9825413227081
