architecture,d_model,num_heads,ff_dim,num_layers,dropout_rate,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
encdec,64,4,128,1,0.2,20,64,826265.4219658966,0.9838188652611394,773.8990418414578,2.2971879384514664,2.2971879384514664,908.991431183978,1.3213285903768213,59.335787773132324
encdec,64,4,128,1,0.2,20,128,2195439.679354641,0.9570056977839443,1360.3833821828243,4.113973398864473,4.113973398864473,1481.701616167925,1.3758425721775898,35.503098487854004
encdec,64,4,128,1,0.2,50,32,178889.20881905142,0.9964967305731587,318.91355029838587,0.9967032197270567,0.9967032197270567,422.95296289191714,1.13761058276937,261.43017649650574
encdec,64,4,128,1,0.2,50,64,511170.0552746403,0.9899895223508322,595.4149392586004,1.7886131898908424,1.7886131898908424,714.9615760826873,1.1939818490026273,137.33743977546692
encdec,64,4,128,1,0.2,50,128,283620.6124990951,0.9944457274580765,408.5591007683137,1.2318352769473935,1.2318352769473935,532.5604308424491,1.2019385794469826,75.6204617023468
encdec,64,4,128,2,0.0,10,32,228985.70492274046,0.9955156679123615,365.29784310979505,1.128567594270381,1.128567594270381,478.52450817355265,1.2068723346409813,68.66448020935059
encdec,64,4,128,2,0.0,10,64,323410.3657461699,0.9936665064700009,467.5646071820824,1.4927282621578364,1.4927282621578364,568.6918020739968,1.3312675294670593,42.96946668624878
encdec,64,4,128,2,0.0,10,128,238132.15408714506,0.9953365488032025,368.3074164846405,1.1786539137770051,1.1786539137770051,487.98786264326804,1.5772848121294842,27.546279430389404
encdec,64,4,128,2,0.0,20,32,285908.64091334614,0.9944009199481976,419.99011783317735,1.2424233148629795,1.2424233148629795,534.7042555594131,1.161876615817432,126.64195919036865
encdec,64,4,128,2,0.0,20,64,155127.91203949344,0.9969620589465104,289.67652441923065,0.9028241272083191,0.9028241272083191,393.86280865231925,1.1837637986786926,72.08151602745056
encdec,64,4,128,2,0.0,20,128,267679.05598226737,0.994757918271208,416.8924415733415,1.3559617732050522,1.3559617732050522,517.3770926338616,1.254861780183979,43.078577518463135
encdec,64,4,128,2,0.0,50,32,113881.84993309986,0.9977697994989384,240.58727337549294,0.7759205579730079,0.7759205579730079,337.46384981668757,1.061359834647408,303.9388225078583
encdec,64,4,128,2,0.0,50,64,115316.82043509095,0.9977416978134246,241.41476462347964,0.7633010911627176,0.7633010911627176,339.5833041171061,1.0898073821046677,161.14607906341553
encdec,64,4,128,2,0.0,50,128,127260.30325650387,0.9975078031112541,253.76716435935393,0.8130243843907234,0.8130243843907234,356.7356209526936,1.1542130391626642,96.91665172576904
encdec,64,4,128,2,0.2,10,32,558051.3414858985,0.9890714246200685,660.5127344579371,2.1892354981808584,2.1892354981808584,747.0283404837453,1.4654532661648023,76.48536252975464
encdec,64,4,128,2,0.2,10,64,737559.1932030558,0.9855560400256026,676.2696497354168,1.9573236281613873,1.9573236281613873,858.8126647896244,1.9745453085980396,46.81712818145752
encdec,64,4,128,2,0.2,10,128,895457.9871295793,0.9824638355212076,834.3250659170259,2.54507991450824,2.54507991450824,946.2864191826803,1.4059834428498668,31.289901733398438
encdec,64,4,128,2,0.2,20,32,201261.9532444702,0.996058594857441,338.3643297734312,1.0672354672436868,1.0672354672436868,448.6222834907671,1.4218516894122106,142.27711629867554
encdec,64,4,128,2,0.2,20,64,323379.85272200656,0.9936671040205484,412.9681938361627,1.21223501938008,1.21223501938008,568.664974059425,1.4360167809010176,74.86865282058716
encdec,64,4,128,2,0.2,20,128,724658.6583369767,0.9858086771169318,672.8404964853573,2.042545959015142,2.042545959015142,851.2688519715593,2.446669827974691,47.88207721710205
encdec,64,4,128,2,0.2,50,32,180345.74579204962,0.9964682065415513,321.89543642766466,1.0389390941369452,1.0389390941369452,424.6713385573008,1.3376982335696899,321.13210701942444
encdec,64,4,128,2,0.2,50,64,243677.68343720475,0.9952279481583902,383.4520330638732,1.160802408819675,1.160802408819675,493.63719819033565,1.2840233665436869,169.25843954086304
encdec,64,4,128,2,0.2,50,128,683588.716362276,0.9866129686280405,698.7083315838661,2.0737103350793,2.0737103350793,826.7942406441133,1.2412031801463994,101.18183541297913
